ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
STAF,Staffing 360 Solutions Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
AGX,Argan Inc,2022-06-07T10:59:00.000Z,TNS,0.3,,,EDT,-14400000,EQUITY
ALEAF,Aleafia Health Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
CVUA,CPI Aerostructures Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
VIAO,VIA Optronics AG,2022-06-07T06:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
ASO,Academy Sports and Outdoors Inc,2022-06-07T12:30:00.000Z,BMO,1.41,,,EDT,-14400000,EQUITY
AEGXF,Aecon Group Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
AFIIQ,Armstrong Flooring Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
ODC,Oil-Dri Corporation of America,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
VIVXF,Avivagen Inc,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
AESE,Allied Esports Entertainment Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
LMPX,Lmp Automotive Holdings Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
GIII,G-III Apparel Group Ltd,2022-06-07T12:30:00.000Z,BMO,0.55,,,EDT,-14400000,EQUITY
CBRL,Cracker Barrel Old Country Store Inc,2022-06-07T12:30:00.000Z,BMO,1.31,,,EDT,-14400000,EQUITY
UBA,Urstadt Biddle Properties Inc,2022-06-07T10:59:00.000Z,TNS,0.23,,,EDT,-14400000,EQUITY
PLAY,Dave & Buster's Entertainment Inc,2022-06-07T12:30:00.000Z,BMO,1.15,,,EDT,-14400000,EQUITY
BASXQ,Basic Energy Services Inc,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
BOMH,Boomer Holdings Inc,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
BASXQ,Basic Energy Services Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
BASXQ,Basic Energy Services Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
BILZF,Ignite International Brands Ltd,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
BOMH,Boomer Holdings Inc,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
CHALF,Chalice Brands Ltd.,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
CHALF,Chalice Brands Ltd.,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
YOURF,YourWay Cannabis Brands Inc,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
RDHL,Redhill Biopharma Ltd,2022-06-07T12:30:00.000Z,BMO,-0.23,,,EDT,-14400000,EQUITY
FRBK,Republic First Bancorp Inc,2022-06-07T12:30:00.000Z,BMO,0.09,,,EDT,-14400000,EQUITY
NOBDF,North Bud Farms Inc,2022-06-07T19:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
BMTX,Bm Technologies Inc,2022-06-07T10:59:00.000Z,TNS,0.08,,,EDT,-14400000,EQUITY
KLDO,Kaleido Biosciences Inc,2022-06-07T12:30:00.000Z,BMO,-0.51,,,EDT,-14400000,EQUITY
BCRHF,Blue Capital Reinsurance Holdings Ltd,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
OCCI,OFS Credit Company Inc,2022-06-07T10:59:00.000Z,TNS,-0.14,,,EDT,-14400000,EQUITY
FFHL,Fuwei Films (Holdings) Co Ltd,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
IOGPQ,ION Geophysical Corp,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
IOGPQ,ION Geophysical Corp,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
PKDC,Parker Drilling Co,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
MDNA,Medicenna Therapeutics Corp,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
CIR,CIRCOR International Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
CNPOF,RIV Capital Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
CIR,CIRCOR International Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
SJM,J M Smucker Co,2022-06-07T12:30:00.000Z,BMO,1.88,,,EDT,-14400000,EQUITY
CELPQ,Cypress Environmental Partners LP,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
LEGH,Legacy Housing Corp,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
LEGH,Legacy Housing Corp,2022-06-07T23:55:00.000Z,TAS,,,,EDT,-14400000,EQUITY
REDU,RISE Education Cayman Ltd,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
CHS,Chico's FAS Inc,2022-06-07T12:30:00.000Z,BMO,0.09,,,EDT,-14400000,EQUITY
LMNR,Limoneira Co,2022-06-07T20:00:00.000Z,AMC,0.07,,,EDT,-14400000,EQUITY
MIMNF,Mimi's Rock Corp,2022-06-07T08:00:25.000Z,TAS,,,,EDT,-14400000,EQUITY
TIMCF,Timia Capital Corp,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
MIMNF,Mimi's Rock Corp,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
CXXIF,C21 Investments Inc,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
TY,Tri-Continental Corp,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
CASY,Caseys General Stores Inc,2022-06-07T20:00:00.000Z,AMC,1.59,,,EDT,-14400000,EQUITY
JRJCY,China Finance Online Co Ltd,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
LITB,LightInTheBox Holding Co Ltd,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
MNFSF,ManifestSeven Holdings Corp,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
CMCM,Cheetah Mobile Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
CTKYY,CooTek (Cayman) Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
YRD,Yiren Digital Ltd,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
YRD,Yiren Digital Ltd,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
AIU,Meta Data Ltd,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
AIU,Meta Data Ltd,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
EGHSF,Enghouse Systems Ltd,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
HLG,Hailiang Education Group Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
HLG,Hailiang Education Group Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
HLG,Hailiang Education Group Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
OESX,Orion Energy Systems Inc,2022-06-07T12:30:00.000Z,BMO,0,,,EDT,-14400000,EQUITY
MMNFF,Medmen Enterprises Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
MMNFF,Medmen Enterprises Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
RENO,Renovare Environmental Inc,2022-06-07T20:00:00.000Z,AMC,-0.07,,,EDT,-14400000,EQUITY
VKIN,Viking Energy Group Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
KEGX,Key Energy Services Inc,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
EXPI,eXp World Holdings Inc,2022-06-07T10:59:00.000Z,TNS,0.01,0.06,500,EDT,-14400000,EQUITY
TAL,TAL Education Group,2022-06-07T12:30:00.000Z,BMO,-0.05,-0.17,-666.67,EDT,-14400000,EQUITY
PEGY,Pineapple Energy Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
UNFI,United Natural Foods Inc,2022-06-07T06:45:00.000Z,TAS,0.97,,,EDT,-14400000,EQUITY
LWAY,Lifeway Foods Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
SFUNY,Fang Holdings Ltd,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
SFUNY,Fang Holdings Ltd,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
SFUNY,Fang Holdings Ltd,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
SFUNY,Fang Holdings Ltd,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
SMM,Salient Midstream & MLP Fund,2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
STGYF,Stingray Group Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
REVG,REV Group Inc,2022-06-07T07:00:00.000Z,TAS,0.23,,,EDT,-14400000,EQUITY
GWRE,Guidewire Software Inc,2022-06-07T20:00:00.000Z,AMC,-0.27,,,EDT,-14400000,EQUITY
SIOX,Sio Gene Therapies Inc,2022-06-07T10:59:00.000Z,TNS,-0.2,,,EDT,-14400000,EQUITY
TCOM,Trip.com Group Ltd,2022-06-07T20:00:00.000Z,AMC,-0.08,,,EDT,-14400000,EQUITY
MOMO,Hello Group Inc,2022-06-07T12:30:00.000Z,BMO,0.23,,,EDT,-14400000,EQUITY
PPIH,Perma-Pipe International Holdings Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
IDEX,Ideanomics Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
SMAR,Smartsheet Inc,2022-06-07T20:00:00.000Z,AMC,-0.19,,,EDT,-14400000,EQUITY
NTP,Nam Tai Property Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
VTSI,VirTra Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
IDN,Intellicheck Inc,2022-06-07T20:00:00.000Z,AMC,-0.1,,,EDT,-14400000,EQUITY
VLGEA,Village Super Market Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
KPRX,Kiora Pharmaceuticals Inc,2022-06-07T20:00:00.000Z,AMC,-0.23,,,EDT,-14400000,EQUITY
PFSW,PFSweb Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
LAIXY,LAIX Inc,2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
XDSL,mPhase Technologies Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
QTT,Qutoutiao Inc,2022-06-07T12:30:00.000Z,BMO,0,0.28,,EDT,-14400000,EQUITY
VRNT,Verint Systems Inc,2022-06-07T20:00:00.000Z,AMC,0.47,,,EDT,-14400000,EQUITY
MICT,MICT Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
MICT,MICT Inc,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
TLGTQ,Teligent Inc (NEW JERSEY),2022-06-07T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
TLGTQ,Teligent Inc (NEW JERSEY),2022-06-07T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
TLGTQ,Teligent Inc (NEW JERSEY),2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
NEWYY,Puxin Ltd,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
NEWYY,Puxin Ltd,2022-06-07T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
SOL,ReneSola Ltd,2022-06-07T20:00:00.000Z,AMC,-0.05,,,EDT,-14400000,EQUITY
